	subject	object	local_mi	label
0	TWDIS_06685	TWMET_00170	1316956	POS
1	TWDIS_06685	TWMET_00012	572520	POS
2	TWDIS_06685	TWMET_01157	93220	POS
4	TWDIS_06685	TWMET_00848	12389	POS
7	TWDIS_06685	TWMET_00014	5235	POS
8	TWDIS_06685	TWMET_00574	4266	POS
9	TWDIS_06685	TWMET_00083	3652	POS
11	TWDIS_06685	TWMET_00805	2637	POS
12	TWDIS_06685	TWMET_00058	2496	POS
14	TWDIS_06685	TWMET_00322	2337	POS
17	TWDIS_06685	TWMET_00166	2055	POS
22	TWDIS_06685	TWMET_00036	1041	POS
24	TWDIS_06685	TWMET_00155	924	POS
25	TWDIS_06685	TWMET_00091	818	POS
29	TWDIS_06685	TWMET_00382	744	POS
30	TWDIS_06685	TWMET_00190	726	POS
32	TWDIS_06685	TWMET_00044	720	POS
33	TWDIS_06685	TWMET_00046	708	POS
34	TWDIS_06685	TWMET_00041	696	POS
38	TWDIS_06685	TWMET_00804	608	POS
43	TWDIS_06685	TWMET_00585	424	POS
44	TWDIS_06685	TWMET_00553	408	POS
46	TWDIS_06685	TWMET_01184	400	POS
49	TWDIS_06685	TWMET_00555	369	POS
51	TWDIS_06685	TWMET_00090	336	POS
58	TWDIS_06685	TWMET_00054	282	POS
62	TWDIS_06685	TWMET_00408	254	POS
69	TWDIS_06685	TWMET_00099	201	POS
71	TWDIS_06685	TWMET_00112	192	POS
72	TWDIS_06685	TWMET_00045	185	POS
75	TWDIS_06685	TWMET_00114	179	POS
77	TWDIS_06685	TWMET_00059	176	POS
83	TWDIS_06685	TWMET_00085	147	POS
85	TWDIS_06685	TWMET_01152	137	POS
86	TWDIS_06685	TWMET_00188	124	POS
91	TWDIS_06685	TWMET_00048	110	POS
92	TWDIS_06685	TWMET_00141	110	POS
95	TWDIS_06685	TWMET_00189	105	POS
96	TWDIS_09536	TWMET_00001	662068	NEG
97	TWDIS_09536	TWMET_00130	209750	NEG
98	TWDIS_09536	TWMET_00174	174070	NEG
99	TWDIS_09536	TWMET_00441	141620	NEG
100	TWDIS_09536	TWMET_00003	92124	NEG
101	TWDIS_09536	TWMET_00011	91128	NEG
104	TWDIS_09536	TWMET_00870	42432	NEG
105	TWDIS_09536	TWMET_00785	17457	NEG
108	TWDIS_09536	TWMET_00095	6424	NEG
111	TWDIS_09536	TWMET_00031	4698	NEG
114	TWDIS_09536	TWMET_00024	3386	NEG
117	TWDIS_09536	TWMET_00113	2898	NEG
118	TWDIS_09536	TWMET_00005	2391	NEG
122	TWDIS_09536	TWMET_01051	1608	NEG
124	TWDIS_09536	TWMET_00016	1497	NEG
126	TWDIS_09536	TWMET_00128	1216	NEG
127	TWDIS_09536	TWMET_00015	1214	NEG
129	TWDIS_09536	TWMET_00126	1134	NEG
131	TWDIS_09536	TWMET_00040	1115	NEG
132	TWDIS_09536	TWMET_00028	1098	NEG
133	TWDIS_09536	TWMET_00032	1064	NEG
137	TWDIS_09536	TWMET_00022	946	NEG
138	TWDIS_09536	TWMET_00154	928	NEG
139	TWDIS_09536	TWMET_00988	908	NEG
140	TWDIS_09536	TWMET_01031	896	NEG
142	TWDIS_09536	TWMET_00550	818	NEG
146	TWDIS_09536	TWMET_00018	653	NEG
148	TWDIS_09536	TWMET_01153	634	NEG
150	TWDIS_09536	TWMET_00424	606	NEG
153	TWDIS_09536	TWMET_00033	589	NEG
155	TWDIS_09536	TWMET_00824	564	NEG
156	TWDIS_09536	TWMET_00368	550	NEG
157	TWDIS_09536	TWMET_00030	541	NEG
159	TWDIS_09536	TWMET_00060	524	NEG
161	TWDIS_09536	TWMET_00107	514	NEG
164	TWDIS_09536	TWMET_00025	501	NEG
165	TWDIS_09536	TWMET_00050	494	NEG
166	TWDIS_09536	TWMET_00063	492	NEG
167	TWDIS_09536	TWMET_00132	488	NEG
168	TWDIS_09536	TWMET_00497	484	NEG
169	TWDIS_09536	TWMET_00202	481	NEG
171	TWDIS_09536	TWMET_00218	452	NEG
175	TWDIS_09536	TWMET_00086	424	NEG
176	TWDIS_09536	TWMET_00127	410	NEG
179	TWDIS_09536	TWMET_00145	387	NEG
180	TWDIS_09536	TWMET_00148	384	NEG
181	TWDIS_09536	TWMET_01201	370	NEG
182	TWDIS_09536	TWMET_00185	369	NEG
183	TWDIS_09536	TWMET_00504	356	NEG
185	TWDIS_09536	TWMET_00066	335	NEG
187	TWDIS_09536	TWMET_00344	314	NEG
188	TWDIS_09536	TWMET_00115	309	NEG
189	TWDIS_09536	TWMET_00485	292	NEG
190	TWDIS_09536	TWMET_00098	282	NEG
191	TWDIS_09536	TWMET_00264	278	NEG
193	TWDIS_09536	TWMET_00478	266	NEG
195	TWDIS_09536	TWMET_00140	261	NEG
196	TWDIS_09536	TWMET_00064	257	NEG
200	TWDIS_09536	TWMET_00149	235	NEG
201	TWDIS_09536	TWMET_01175	232	NEG
203	TWDIS_09536	TWMET_00087	209	NEG
204	TWDIS_09536	TWMET_01025	208	NEG
208	TWDIS_09536	TWMET_00131	199	NEG
209	TWDIS_09536	TWMET_00221	197	NEG
210	TWDIS_09536	TWMET_00386	189	NEG
211	TWDIS_09536	TWMET_00182	186	NEG
212	TWDIS_09536	TWMET_00564	177	NEG
214	TWDIS_09536	TWMET_00181	176	NEG
215	TWDIS_09536	TWMET_00157	168	NEG
217	TWDIS_09536	TWMET_00192	166	NEG
221	TWDIS_09536	TWMET_00275	154	NEG
222	TWDIS_09536	TWMET_00179	154	NEG
223	TWDIS_09536	TWMET_00171	152	NEG
225	TWDIS_09536	TWMET_00206	148	NEG
226	TWDIS_09536	TWMET_00544	148	NEG
227	TWDIS_09536	TWMET_00151	146	NEG
229	TWDIS_09536	TWMET_00844	143	NEG
230	TWDIS_09536	TWMET_01030	139	NEG
231	TWDIS_09536	TWMET_00233	139	NEG
232	TWDIS_09536	TWMET_00447	137	NEG
233	TWDIS_09536	TWMET_00163	136	NEG
234	TWDIS_09536	TWMET_00164	134	NEG
235	TWDIS_09536	TWMET_00893	133	NEG
237	TWDIS_09536	TWMET_00243	127	NEG
238	TWDIS_09536	TWMET_00451	127	NEG
239	TWDIS_09536	TWMET_00193	126	NEG
240	TWDIS_09536	TWMET_00265	123	NEG
241	TWDIS_09536	TWMET_00254	123	NEG
242	TWDIS_09536	TWMET_00153	122	NEG
243	TWDIS_09536	TWMET_00269	121	NEG
244	TWDIS_09536	TWMET_01235	120	NEG
245	TWDIS_09536	TWMET_00152	119	NEG
246	TWDIS_09536	TWMET_00905	117	NEG
247	TWDIS_09536	TWMET_00847	113	NEG
248	TWDIS_09536	TWMET_00245	113	NEG
249	TWDIS_09536	TWMET_00940	112	NEG
250	TWDIS_09536	TWMET_00868	111	NEG
251	TWDIS_09536	TWMET_00534	104	NEG
252	TWDIS_09536	TWMET_00536	102	NEG
253	TWDIS_09536	TWMET_00253	101	NEG
